Date,Moment,ArtistFrom,AlbumFrom,SongFrom,ArtistTo,AlbumTo,SongTo,RootNode,AlbumSong,Repetitions,Device,isStreaming,isFirstListeningAlbum,Notes
14-12-2018,Evening,DBFC,Jenks,Jenks,DBFC,Jenks,Jenks,Y,A,1,Laptop,N,N,
15-12-2018,Morning,DBFC,Jenks,Jenks,DBFC,Jenks,Jenks,N,A,2,Laptop,N,N,
15-12-2018,Evening,DBFC,Jenks,Jenks,DBFC,Jenks,Jenks,N,A,3,Laptop,N,N,
15-12-2018,Evening,DBFC,Jenks,Jenks,Miami Horror,Illumination,Infinite Canyons,N,A,1,Laptop,N,N,
15-12-2018,Evening,Miami Horror,Illumination,Infinite Canyons,Miami Horror,Illumination,Infinite Canyons,N,A,2,Laptop,N,N,
17-12-2018,Evening,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,Y,S,8,Laptop,N,N,
17-12-2018,Evening,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,Todd Terje,It’s Album Time,Delorean Dynamite,N,S,5,Smartphone,N,N,
18-12-2018,Evening,deadmau5,Mau5ville: Level 1,Monophobia – Extended Mix,deadmau5,Mau5ville: Level 1,Monophobia – Extended Mix,Y,S,7,Smartphone,N,N,
19-12-2018,Evening,deadmau5,Mau5ville: Level 1,Monophobia – Extended Mix,deadmau5,Mau5ville: Level 1,Monophobia – Extended Mix,N,S,4,Smartphone,N,N,
20-12-2018,Evening,deadmau5,Mau5ville: Level 1,Monophobia – Extended Mix,Daft Punk,Alive 2007,Robot Rock / Oh Yeah,N,A,2,Laptop,N,N,
22-12-2018,Evening,Daft Punk,Alive 2007,Robot Rock / Oh Yeah,Daft Punk,Alive 2007,Robot Rock / Oh Yeah,N,A,2,Laptop,N,N,
23-12-2018,Morning,Daft Punk,Alive 2007,Robot Rock / Oh Yeah,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,N,S,10,Laptop,N,N,
23-12-2018,Evening,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,Daft Punk,Alive 2007,Encore - Human After All / Together - Together / One More Time (reprise) / Stardust - Music Sounds Better with You,N,S,14,Laptop,N,N,
